"data","model","AUC (95% CI)"
"Training - POW 80%","tree","0.692 (0.665, 0.719)"
"Training - POW 80%","gp_lasso","0.731 (0.7, 0.761)"
"Training - POW 80%","elastic","0.731 (0.701, 0.762)"
"Training - POW 80%","nnet","0.727 (0.696, 0.758)"
"Test - POW 20%","tree","0.663 (0.614, 0.713)"
"Test - POW 20%","gp_lasso","0.722 (0.665, 0.779)"
"Test - POW 20%","elastic","0.725 (0.668, 0.781)"
"Test - POW 20%","nnet","0.727 (0.673, 0.781)"
"Validation - St George","tree","0.595 (0.56, 0.629)"
"Validation - St George","gp_lasso","0.653 (0.616, 0.689)"
"Validation - St George","elastic","0.659 (0.622, 0.695)"
"Validation - St George","nnet","0.667 (0.631, 0.703)"
